word,type,meanings
aire,noun,air (mixture of gasses)
aireportu,noun,airport
aise,adverb,easily
aita,noun,father | priest | autor
aitaginarreba,noun,father-in-law
aitaginarrebakide,noun,co-father-in-law
aitaorde,noun,stepfather
aitatxi,noun,"(colloquial, familiar) grandfather"
aitona,noun,grandfather
aitzur,noun,hoe (agricultural instrument) | mattock
aizkolari,noun,lumberjack; logger
aizkora,noun,"axe, ax"
aizto,noun,knife (weapon)
aiztur,noun,"scissors | pincers, pliers | large shears"
-aizun,suffix,"fake, deceitful, misleading"
akelarre,noun,a nocturnal group of witches and the devil; a coven | a Basque celebration of witches | a noisy gathering
aker,noun,"he-goat, billy goat"
akordeoi,noun,accordion
akrobata,noun,acrobat
aktibatu,verb,"to activate, to enable (to put something into action)"
aktibatze,noun,Verbal noun of aktibatu.
aktore,noun,actor
al,particle,Used to form yes/no questions.
ala,conjunction,or (exclusive)
alaba,noun,daughter
alafede,interjection,for sure; indeed (used to assert the truthfulness of a statement)
alai,adjective,"joyous, happy"
albaitari,noun,veterinarian
albaniar,adjective,Albanian
albaniar,noun,an Albanian person (male or female)
albaniera,noun,The Albanian language
aldapa,noun,slope | (Northern) hill | (figuratively) difficulty
aldatu,verb,to change | to exchange | to replace the clothing of | to transplant
aldatze,noun,Verbal noun of aldatu.
alde,interjection,"get out!, scram!"
alde,noun,"part, zone, side | side (of paper, a card, a coin), heads (of a coin) | difference, advantage"
alde,postposition,[+absolutive] around (time) | [+genitive] in favor of
aldean,noun,inessive singular of alde
aldean,postposition,inessive of alde
aldean,postposition,compared to
aldetik,noun,ablative singular of alde
aldetik,postposition,"regarding, concerning"
aldizkari,noun,magazine
ale,noun,grain
aleluia,interjection,(Christianity) hallelujah! (exclamation of praise to God)
aleluia,noun,"(Christianity, music) hallelujah; alleluia (a liturgical song to praise God)"
aleman,adjective,German
aleman,noun,(animate) A German person (man or woman)
aleman,noun,(inanimate) The German language
alemanera,noun,The German language
alemaniar,adjective,German
alemaniar,noun,an German person (male or female)
alkandora,noun,shirt
alkate,noun,mayor
alkohol,noun,alcohol
alor,noun,field (also figurative)
alta,conjunction,however
altxatu,verb,"to raise, lift | to rise, stand up. sit up | to raise, rear (offspring) | to raise, increase (price) | to save, collect, put away | to rise up, rebel | to raise, build"
altxoin,noun,shepherd
altxor,noun,"treasure (collection of valuable things) | (figuratively) treasure (something or someone greatly valued) | capital, wealth"
altzairu,noun,steel
altzari,noun,furniture
altze,noun,"elk, moose"
alu,noun,"vagina, vulva"
aluminio,noun,aluminium
ama,noun,mother | origin
ama-hizkuntza,noun,mother tongue
amaginarreba,noun,mother-in-law
amaginarrebakide,noun,co-mother-in-law
amai,noun,"end, ending"
amaitu,verb,"to finish off, end, conclude | to run out of something, give out | to kill"
amama,noun,grandmother
amaraun,noun,spiderweb
amatasun,noun,"motherhood, maternity"
amatxu,noun,"mum, mother"
amerikano,noun,(historical) someone who became rich in the Americas and returned to his country | an inhabitant of the Americas
amesgaizto,noun,nightmare
amets,noun,dream
ametz,noun,(botany) Pyrenean oak (Quercus pyrenaica)
amiamoko,noun,stork
amona,noun,grandmother | old woman
amu,noun,(fishing) hook (for fishing)
anafora,noun,(rhetoric) anaphora
anagrama,noun,anagram
anaia,noun,brother | (Biscayan) brother of a male | brother (male fellow member of a religious community) | brother (somebody connected by a common cause or situation)
anana,noun,pineapple (plant) | pineapple (fruit)
anarkismo,noun,anarchy
anbulantzia,noun,ambulance
andere,noun,Alternative form of andre
andereño,noun,"young woman, Miss | Specifically, a schoolmistress."
andorratar,adjective,Andorran
andorratar,noun,an Andorran person (male or female)
andre,noun,woman | wife | lady
andregai,noun,fiancée
angelu,noun,(geometry) angle
animalia,noun,animal
anime,noun,anime
anioi,noun,anion
anker,adjective,mean
anker,noun,beast
anodo,noun,anode
antilope,noun,antelope
antimikrobiar,adjective,Nonstandard form of antimikrobiano.
antxeta,noun,gull
antzara,noun,goose
apaiz,noun,priest
apaizgai,noun,seminarist
apar,noun,foam
apez,noun,priest
apezpiku,noun,bishop
apiril,noun,April
apo,noun,toad
apo,noun,hoof
aprobetxategi,noun,"(informal) sponger, freeloader"
-ar,suffix,Used to create adjectives and nouns that denote ethnonyms.
ar,noun,male
arabiera,noun,The Arabic language
arabisagar,noun,grapefruit
aragoiera,noun,Aragonese
aramu,noun,spider
aran,noun,plum (fruit)
aranondo,noun,plum (tree)
-arazi,suffix,"Forms the causative, to make, to cause to do"
arazi,noun,(Biscayan) yarn (twisted strand of fiber)
arba,noun,branch
arbela,noun,"slate | blackboard, chalkboard"
arbeletxeko,noun,apricot
arbola,noun,"tree, especially one planted by a human"
ardao,noun,(Biscayan) Alternative form of ardo.
ardi,noun,sheep | ewe
ardo,noun,wine
ardo beltz,noun,red wine
ardo gorri,noun,rosé wine
ardo zuri,noun,white wine
are,noun,rake
argazki,noun,"photo, photograph"
argazkilari,noun,photographer
argi,noun,"light, clarity"
argitsu,adjective,"bright | intelligent, smart | illustrious"
-ari,suffix,Used to create names of occupations from nouns.
-ari,suffix,Alternative form of -kari
arima,noun,soul
aritz,noun,Nonstandard spelling of haritz.
arkakuso,noun,flea
arkatz,noun,pencil
arkeoastronomia,noun,"(astronomy, archaeology) archaeastronomy"
arku,noun,bow (weapon) | (geometry) arc | (architecture) arch
arkume,noun,lamb
arma,noun,weapon
armeniar,adjective,Armenian
armeniar,noun,an Armenian person (male or female)
armeniera,noun,The Armenian language
armiarma,noun,spider
armiarma-sare,noun,spiderweb
aro,noun,"time, season | age, era | (Navarro-Lapurdian, Souletin) weather"
aro,noun,"wreath, garland | ring, circle"
arotz,noun,"(Biscayan, Gipuzkoan, Navarrese) carpenter | (Navarro-Lapurdian, Souletin) smith, ironsmith"
aroztegi,noun,"(Biscayan, Gipuzkoan, Navarrese) carpentry | (Navarro-Lapurdian, Souletin) ironworker's shop or workshop"
arpoi,noun,harpoon
arra,noun,span
arrain,noun,fish
arrakasta,noun,success
arrano,noun,eagle
arranotegi,noun,eyrie
arrantzale,noun,fisherman
arratoi,noun,rat
arratsalde,noun,"afternoon, dusk"
arraun,noun,oar (lever used to propel a boat) | (sports) rowing
arrautza,noun,egg
arreba,noun,sister (of a male)
arroda,noun,wheel
arrosa,noun,rose
arrunt,adjective,"common, widespread, commonplace | ordinary, everyday | simple, straightforward | vulgar, coarse"
artaburu,noun,"(inanimate) cob (of corn) | (animate) stupid, fool"
artalde,noun,flock of sheep | christian community
arte,noun,oak (especially the evergreen oak)
arte,noun,space in between | interval
arte,postposition,between | until
artile,noun,wool
artizar,noun,"(astronomy) morning star, evening star (the planet Venus)"
Artizarra,noun,(astronomy) Venus
arto,noun,"corn, maize"
artseniko,noun,arsenic
artxipelago,noun,archipelago
artzain,noun,shepherd | priest
artzain-txakur,noun,sheepdog
asaba,noun,grandfather
askatasun,noun,"freedom, liberty"
aske,adjective,"free, independent | (mathematics) independent"
aske,adverb,freely
asko,adjective,"a lot of, many, much"
asko,adverb,"much, a lot"
aste,noun,week
astearte,noun,Tuesday
asteazken,noun,Wednesday
astebukaera,noun,weekend
asteburu,noun,weekend
astelehen,noun,Monday
asteroide,noun,(astronomy) asteroid
asto,noun,donkey
astrofisika,noun,astrophysics
astrofisikari,noun,astrophysicist
astronomia,noun,astronomy
astronomo,noun,astronomer
asturiera,noun,The Asturian language
asun,noun,nettle (stinging herb of genus Urtica)
ata-,noun,combining form of ate (“door”)
ataraxia,noun,ataraxia
atari,noun,"gateway, doorway, portal | introduction, beginning | threshold (lower limit) | (Internet) portal"
atariko,adjective,"introductory, preliminary"
atariko,noun,"introduction, preliminary"
atariko,noun,locative singular of atari
atariko haize,noun,(idiomatic) dead loss (something or someone useless)
ate,noun,"door, entrance | defile, gorge (deep, narrow passage) | (sports) goal (structure) | exterior, outside part"
atera,verb,"(transitive) to take out | (intransitive) to exit, to go out, to leave, to depart | (intransitive) to go out, to come out (to leave one's abode to go to public places) | (intransitive) to emerge, to grow, to originate, to be born | (transitive) to publish | (intransitive, of the Sun) to rise | (intransitive) to cost"
aterki,noun,"shelter, hostel, refuge | umbrella"
atoi,noun,"trailer (unpowered wheeled vehicle), something that is towed"
atomo,noun,(physics) atom
atorra,noun,shirt
atxeki,verb,"to stick to, adhere | to attach"
atxekitze,noun,Verbal noun of atxeki.
atze,noun,"rear; the back or hindmost part of something, that which is behind or last on order, as opposed to front. | (euphemistic) buttocks, arse, rear"
atzean,postposition,behind
atzelari,noun,(soccer) defender | (derogatory) faggot
atzo,adverb,yesterday
aukera,noun,"choice, option | selection | occasion"
aukera,verb,Infinitive of aukeratu.
aukeraketa,noun,selection
aukeratu,verb,"to choose, pick"
aukeratze,noun,Verbal noun of aukeratu.
aulki,noun,chair | workbench | (politics) seat | (Christianity) see | (sports) bench | (law) dock (part of a courtroom where the accused sits)
aupa,interjection,come on | hey (informal greeting)
aurkitu,verb,to find | to discover
aurkitze,noun,Verbal noun of aurkitu.
aurpegi,noun,face
aurre,noun,front
aurrean,noun,inessive singular of aurre
aurrean,postposition,in front of
aurten,adverb,this year
austriar,adjective,Austrian
austriar,noun,an Austrian person (male or female)
autismo,noun,autism
auto,noun,"automobile, car"
autobide,noun,"freeway, motorway, highway"
autobus,noun,bus
auzo,noun,(animate) neighbo(u)r | (inanimate) neighbo(u)rhood
azal,noun,(anatomy) skin
azaro,noun,November
azazkal,noun,fingernail
azenario,noun,carrot
azerbaijandar,adjective,Azeri
azerbaijandar,noun,an Azeri person (male or female)
azerbaijanera,noun,The Azerbaijani language
azeri,adjective,"astute, sly"
azeri,noun,fox
azeri hegalari,noun,flying fox
azeri zahar,noun,(idiomatic) old hand
azeri-bataio,noun,sun shower
azeri-belar,noun,(botany) meadow foxtail
azeri-buztan,noun,(botany) horsetail
azeri-ezkontza,noun,sun shower
azeri-txakur,noun,"(idiomatic) a hound used to hunt foxes, foxhound"
azeri-zulo,noun,fox burrow
azerikeria,noun,"astuteness, slyness | scheme, trick"
azeriki,noun,fox meat
azerikume,noun,fox cub
azeritegi,noun,fox burrow
azkar,adjective,"fast, quick | strong | intelligent, smart"
azkar,adverb,"fast, quickly | strongly"
azkar,noun,maple tree
azken,adjective,last
azken,noun,"end | (Christianity, in the plural) the four last things"
azkonar,noun,badger
azoka,noun,market | fair
azpi,noun,"thigh | lower part, bottom, floor"
azpi-,prefix,"sub-, infra-, hypo-"
azpian,noun,inessive singular of azpi
azpian,postposition,under
azpititulu,noun,subtitle
azukre,noun,sugar
-ba,suffix,(non-productive) Kinship suffix. It is usually found attached to unknown stems.
ba,particle,Alternative form of ba-
ba,particle,"so, then, well"
ba,particle,(Northern) yes
ba,interjection,Indicates disdain or unbelief.
ba-,conjunction,(Southern) if
ba-,particle,Prefixed to verb forms to show emphasis.
baba,noun,"broad bean | bean, green bean | blister"
babazorro,adjective,(colloquial) of or relating to Álava
babazorro,noun,"(inanimate) bean sack | (animate, colloquial) someone from Álava"
badia,noun,bay
bagil,noun,June.
bai,interjection,yes
bai-,conjunction,Alternative form of bait-
baina,conjunction,but
baino,conjunction,than
bait-,conjunction,"because, since | who, which"
baita,conjunction,"also, too, as well"
baita,postposition,"(with the genitive case) Used to mark the local cases of animate nouns. | (with the genitive case) at, in (used with the names of professions) | (with the absolutive case) at, in (used with the names of people)"
bakailao,noun,cod
bakarrik,adverb,only
bake,noun,"peace | tranquillity, serenity"
bake,verb,Infinitive of baketu.
baketu,verb,to reconcile | to calm down | to pacify
baketze,noun,Verbal noun of baketu.
bakteriofago,noun,(virology) bacteriophage
balbula,noun,valve
baldin,particle,Used before a conditional verb form to show emphasis.
baldin eta,particle,Used before a clause containing a conditional verb form to show emphasis.
baldin eta soilik baldin,conjunction,"(logic, mathematics) if and only if"
balea,noun,whale
balezta,noun,crossbow.
banatu,verb,"To distribute. | To deliver. | To separate. | To disseminate. | (algebra, acts on a polynomial) To split."
banatze,noun,Verbal noun of banatu.
banatze gorputz,noun,"(algebra, Galois theory) (of a polynomial) splitting field"
bandalismo,noun,vandalism
bandera,noun,flag
banketxe,noun,The building where the bank is located.
banku,noun,bank | bench
banpiro,noun,"(folklore) vampire | (biology) vampire, vampire bat"
barantaila,noun,February
baratxuri,noun,garlic
barazkari,noun,lunch
bardin,noun,(Biscayan) Alternative form of berdin
bardintasun,noun,(Biscayan) Alternative form of berdintasun
bare,adjective,calm
bare,noun,slug
bare,noun,spleen
barik,postposition,(chiefly Biscayan)  without | (chiefly Biscayan)  instead of
bariku,noun,Friday
barna,adjective,deep
barna,adverb,deeply
barna,noun,"conscience, soul"
barrabil,noun,(anatomy) testicle
barraskilo,noun,snail
barre,noun,laughter
barren,adjective,deep
barren,noun,"interior | guts, stomach | (figuratively) soul, spirit"
barrena,postposition,through
barrena,noun,drill
barrena,adjective,absolutive singular of barren
barrena,noun,absolutive singular of barren
barri,adjective,(Biscayan) Alternative form of berri (“new”)
barri,noun,(Biscayan) Alternative form of berri (“new”)
bart,adverb,last night
basa-,noun,combining form of baso (“forest”)
basalto,noun,basalt
basamortu,noun,desert (barren area of land)
basarto,noun,sorghum
baseliza,noun,"An isolated chapel, shrine or other sanctuary, often in the care of a hermit or anchorite."
baserri,noun,"farmhouse, farm | hamlet | countryside"
baserritar,noun,farmer | villager
baserritar,verb,Infinitive of baserritartu.
baserritartu,verb,to become or turn someone into a peasant | to make or become rural
baserritartze,noun,Verbal noun of baserritartu.
baso,noun,"forest, woods, jungle"
baso,noun,drinking glass | (biology) vessel
basurde,noun,wild boar
bat etorri,verb,to agree
bat etortze,noun,Verbal noun of bat etorri.
bataio,noun,baptism
batasun,noun,unity
batasun zibil,noun,civil union (legal union similar to marriage)
batera,adverb,at the same time
batera,pronoun,allative indefinite inanimate of bat | allative singular inanimate of bat
batxata,noun,bachata
batzoki,noun,A bar or restaurant operated by the Basque Nationalist Party.
batzuetan,adverb,sometimes
batzuetan,pronoun,inessive plural inanimate of bat
bazilo,noun,bacillus
bazkaldu,verb,to have lunch
bazkari,noun,lunch
bazter,noun,edge | border | corner
be,noun,The name of the Latin-script letter B.
begi,noun,eye | hole
begi,verb,"Third-person singular      (hark), taking    third-person singular     (hura) as direct object,  present  imperative form of egin."
begiratu,verb,"to look at | to glance, to stare | to look after, to take care of"
begiratze,noun,Verbal noun of begiratu.
behar,adjective,poor | necessary
behar,noun,"necessity, need | work, effort"
behartsu,adjective,poor
behatz,noun,toe
beheko solairu,noun,ground floor ; first floor (US)
behi,noun,cow
behor,noun,mare
bekain,noun,eyebrow
belar,noun,grass
belarri,noun,ear
belarritako,noun,earring
belaun,noun,(inanimate) knee | (animate) generation
belaunburu,noun,kneecap
belaunikatu,verb,to kneel
beldar,noun,"caterpillar, worm"
beldur,noun,fear
bele,noun,crow
belgikar,adjective,Belgian
belgikar,noun,an Belgian person (male or female)
beltx,adjective,Diminutive of beltz.
beltx,noun,Diminutive of beltz.
beltz,adjective,"black (absorbing all light and reflecting none; dark and hueless) | black (of or relating to any of various ethnic groups having dark pigmentation of the skin) | dark | sad | evil, wicked"
beltz,noun,"(inanimate) black (the color perceived in the absence of light) | (animate) a black person | (animate, archaic, derogatory) a liberal | (inanimate, music) crotchet, quarter note | (inanimate) red wine"
belz,adjective,Nonstandard form of beltz.
belz,noun,Nonstandard form of beltz.
bera,pronoun,"Third-person singular personal pronoun; he, she, it | oneself, in person (used for greater emphasis)"
bera,adjective,"soft, smooth | gentle, soft, mild"
bera,noun,allative singular of be
berakatz,noun,garlic
beraz,adverb,(conjunctive) therefore
beraz,pronoun,instrumental singular of bera
beraz,adjective,instrumental indefinite of bera | instrumental singular of bera
berba,noun,word
berde,adjective,"green | green (environmentally friendly) | unripe | (figuratively) young | (figuratively) obscene, dirty, blue"
berde,noun,(inanimate) green (the colour of growing foliage) | (animate) green (politics)
berdin,adjective,"same | flat, level"
berdin,adverb,"equally, the same way"
berdintasun,noun,similarity | equality
bere burua,pronoun,"Third-person singular reflexive pronoun; himself, herself, itself"
beren burua,pronoun,Third-person plural reflexive pronoun; themselves
beren buruak,pronoun,Alternative form of beren burua
beribil,noun,car
berilio,noun,beryllium
bero,adjective,"warm, calid | passionate | irritable"
bero,adverb,warmly
bero,noun,"warmth, heat | (physics) heat | fever | (biology) heat, oestrus (a condition where a mammal is aroused sexually or where it is especially fertile and therefore eager to mate)"
bero egin,verb,to be hot (weather)
berori,pronoun,"that one, that same, the same | (formal, dated) Second-person singular personal pronoun; you"
berori,adjective,dative indefinite of bero
berori,noun,dative indefinite of bero
berpiztu,verb,to resuscitate
berri,noun,news
berri,adjective,new
berriro,adverb,again
bertso,noun,a spontaneous song sung in Basque
bertsolari,noun,bertso singer
berun,noun,lead (metal)
besape,noun,"(anatomy) underarm, armpit"
besaurre,noun,forearm
beso,noun,arm | sleeve
beste,adjective,other
betaurreko,noun,"glasses, spectacles"
betazal,noun,eyelid
beti,adverb,always
betile,noun,eyelash
betzulo,noun,eye socket
bidaia,noun,"trip, travel."
bide,noun,"path, track, way | way, manner, method, procedure | journey | line"
bide,particle,"apparently, seemingly"
bidegorri,noun,cycle path
bidesari,noun,toll (fee for using roads and bridges)
bielorrusiar,adjective,Belarusian
bielorrusiar,noun,A Belarusian person (man or woman)
bielorrusiera,noun,The Belarusian language
biga,noun,calf
bigarren,adjective,(ordinal) second
bigarren,noun,(ordinal) second
bigarren solairu,noun,second floor (UK) ; third floor (US)
bihar,adverb,tomorrow
bihotz,noun,"(anatomy) heart | heart, spirit | center, core | courage | (card games) heart | (endearing) dear, darling"
bihotzerre,noun,heartburn
bikain,adjective,excellent
bikain,adverb,excellently
bikain,noun,(education) A (highest grade) | excellence
bike,noun,pitch
biki,noun,twin
bikoitz,adjective,double
bikote,noun,couple
bila,postposition,"[+absolutive, genitive] looking for, in search of"
bila,verb,Infinitive of bilatu.
bilatu,verb,to search | to look for
bildil,noun,October
bildots,noun,lamb
biolin,noun,violin (instrument)
bira,noun,"turn | half turn | tour (a journey through a list of places) | (physics) revolution, rotation"
birao,noun,"curse, swearword, oath | blasphemy"
birao egin,verb,"to curse, cuss, swear | to blaspheme"
birika,noun,lung
bisuts,noun,blizzard
bizar,noun,beard
bizi,noun,life
bizi izan,verb,"to live, be alive | to live somewhere | to experience, feel"
bizikleta,noun,bicycle
bizipoz,noun,joie de vivre
bizitza,noun,life
boilur,noun,truffle
bokal,noun,vowel
bombila,noun,light bulb
bonba,noun,bomb
boro,noun,boron
boronde,noun,forehead
borroka,noun,"battle, fight, combat"
bosgarren,adjective,(ordinal) fifth
bosgarren,noun,(ordinal) fifth
boskoitz,adjective,fivefold
bosniera,noun,The Bosnian language
bosoi,noun,boson
bosten,noun,(fractional) fifth
bostortz,noun,five-toothed rake
botaka egin,verb,to vomit
botika,noun,"pharmacy, drug store | medicine"
boz,noun,voice
bozkatu,verb,to vote | to approve by the means of voting
bretoiera,noun,The Breton language
bridge,noun,(card games) bridge (card game)
bufalo,noun,buffalo
bukatu,verb,"to finish, to end | to die | to break (a relationship)"
bularretako,noun,"bra, brassiere"
bulego,noun,office | bureau
bulgariar,adjective,Bulgarian
bulgariar,noun,A Bulgarian person (man or woman)
bulgariera,noun,The Bulgarian language
bumeran,noun,boomerang
burdina,noun,iron
burdinbide,noun,railway
burdingintza,noun,siderurgy (iron and steel industry)
burezur,noun,skull
burko,noun,pillow
buru,noun,"(anatomy) head | (figuratively) intellect, judgment"
buruil,noun,September
burukomin,noun,headache
burumuin,noun,(anatomy) brain(s)
buruz,adverb,by heart
buruz,noun,instrumental indefinite of buru
buztin,noun,clay
büü,noun,(Souletin) Alternative form of buru
carmeltazita,noun,(mineralogy) carmeltazite
dagonil,noun,August
danbor,noun,drum (instrument)
daniar,adjective,Danish
daniar,noun,A Dane person (man or woman)
daniera,noun,The Danish language
dantzari,noun,dancer
-dar,suffix,Alternative form of -ar
daratulu,noun,drill
de,noun,The name of the Latin-script letter D.
deabru,noun,"the Devil, Satan | devil, demon | a mischievous person"
-degi,suffix,Alternative form of -tegi
dei,noun,"call, appeal | call (telephone conversation) | announcement | (law) summons"
dei,verb,Infinitive of deitu.
deitu,verb,"to call, summon | to call, ring up, telephone | to be called"
deitura,noun,surname | nickname
denbora,noun,"time | era, times | (Navarro-Lapurdian, Souletin, Navarrese) weather | (grammar) tense"
denda,noun,shop | tent
dendari,noun,shopkeeper
deribatu partzial,noun,partial derivative
desaktibatu,verb,"to deactivate, to disable (to put something out of action)"
desbardintasun,noun,(Biscayan) Alternative form of desberdintasun
desberdin,adjective,different
desberdintasun,noun,difference | inequality
deskonposizio gorputz,noun,"(algebra, Galois theory) (of a polynomial) splitting field"
-di,suffix,Collective suffix usually attached to plant names. | (neologism) group of people
dibidendu,noun,dividend
dilista,noun,lentil
diodo,noun,(electronics) diode
diru,noun,money
diskoetxe,noun,record label
doi,adjective,accurate
dolu,noun,grief
domeka,noun,Sunday
done,adjective,holy
dorre,noun,tower
dorretxe,noun,tower house
dortoka,noun,turtle
dromedario,noun,dromedary
-du,suffix,Alternative form of -tu
duela,preposition,ago
-dun,suffix,"haver, possessor"
dutxa,noun,shower
e,noun,The name of the Latin-script letter E.
ea,particle,"Used in indirect questions as an intensifier. | Used to express one's desire; I hope, I wish"
ebanjelio,noun,gospel
ebiakoitz,noun,Saturday
edalontzi,noun,cup
edan,noun,drink
edan,verb,to drink | to have alcoholic drinks
edari,noun,drink
eder,adjective,"beautiful, pretty, handsome | good, excellent, admirable | big, grown, abundant"
edertasun,noun,beauty
edin,verb,"(auxiliary, linguistics) Hypothetical citation form of the intransitive aorist auxiliary."
edo,conjunction,or (inclusive)
edonor,pronoun,"anyone, anybody"
edozer,pronoun,anything
eduki,verb,"to support, sustain | to keep | (Biscayan, Gipuzkoan, Navarrese) to have, possess | [+partitive] to take for | to believe, think | [+comitative] to stay true, remain faithful"
eduki,adjective,"rich | stingy, cheap"
eduki,noun,"content, possession, goods | rich person | stingy, cheap person"
edukitze,noun,Verbal noun of eduki.
edun,verb,"(auxiliary, transitive) to have | (auxiliary, transitive) used with transitive (nor nork) verbs"
edun,verb,"(auxiliary, transitive, with dative agreement) used with transitive verbs that take a dative argument (nor nori nork)"
efe,noun,The name of the Latin-script letter F.
-egi,suffix,Used to form the excessive form of adjectives.
egia,adjective,true
egia,noun,truth
egiaz,adverb,"truly, really, actually"
egiaz,adjective,instrumental indefinite of egia | instrumental singular of egia
egiaz,noun,instrumental indefinite of egia | instrumental singular of egia
egiazko,adjective,"true, real"
egiaztatu,verb,"to verify, to confirm"
egin,verb,"to do, make, create, produce | to be (age) | to speak (a language) | to assume, suppose | to play | to become"
egitasmo,noun,"project, plan"
egite,noun,Verbal noun of egin.
egon,verb,"(auxiliary) to be, exist | to stay"
egongela,noun,living room
egote,noun,Verbal noun of egon.
eguazten,noun,Wednesday
egubakoitz,noun,Friday
Eguberri,noun,Christmas
eguen,noun,Thursday
egun,noun,day
egunkari,noun,newspaper | diary
egunsenti,noun,"dawn, daybreak"
egur,adjective,clumsy | annoying
egur,noun,"firewood | (chiefly Biscayan, Gipuzkoan) wood"
egur-ikatz,noun,charcoal
eguraldi,noun,weather
egurrikatz,noun,Nonstandard spelling of egur-ikatz.
egutegi,noun,calendar
eguzki,noun,sun
eguzkitsu,adjective,sunny
ehe,noun,"(Navarro-Lapurdian, Souletin) washwater, bleach"
ehe,interjection,"(Souletin, emphatic) no"
ehiza,noun,hunting
ehiza,verb,to hunt
ekain,noun,June
ekaitz,noun,storm
ekaiztsu,adjective,stormy
ekarri,verb,"to bring | to convey | to produce, bear | to cause, bring about"
ekialde,noun,east | a sunny place
ekilore,noun,sunflower
ekin,verb,to devote
ekranoplano,noun,ekranoplan
-ela,conjunction,Alternative form of -la.
elai,noun,"(Biscayan, Gipuzkoan) Alternative form of enara"
eldarnio,noun,delirium
elder,noun,slime
ele,noun,The name of the Latin-script letter L.
elefante,noun,elephant
elektrodo,noun,electrode
elektroi,noun,electron
elektronika,noun,electronics
eliza,noun,church
elkar,pronoun,each other; one another
elkarlan,noun,"teamwork, cooperation"
elkartasun,noun,"association, alliance, fellowship | agreement, accord | solidarity, camaraderie | reciprocity, correspondance"
eltxo,noun,mosquito | weevil
elur,noun,snow
elur jausi,noun,avalanche
emagaldu,noun,"prostitute | (vulgar, derogatory) whore"
emakume,noun,woman
eman,verb,to give
emazte,noun,wife
emaztegai,noun,fiancée
eme,noun,female
eme,noun,The name of the Latin-script letter M.
-en,suffix,Used to form the superlative form of adjectives.
-en,suffix,Used to form the plural genitive of nouns and adjectives. | Used to form the indefinite genitive of nouns and adjectives ending in a consonant.
-en,conjunction,Alternative form of -n.
enara,noun,swallow (Hirundo rustica) | swift (Apus apus)
ene,pronoun,genitive of ni
ene,interjection,oh my
